length,accuracy,f1,precision,recall,roc
178,0.8020,0.8020,0.8022,0.8020,0.8020
179,0.8109,0.8109,0.8111,0.8109,0.8109
180,0.8072,0.8072,0.8072,0.8072,0.8072
181,0.7966,0.7966,0.7967,0.7966,0.7966
182,0.8014,0.8013,0.8016,0.8014,0.8014
183,0.8058,0.8058,0.8059,0.8058,0.8058
184,0.8072,0.8072,0.8073,0.8072,0.8072
185,0.7976,0.7976,0.7978,0.7976,0.7976
186,0.7990,0.7990,0.7990,0.7990,0.7990
187,0.8024,0.8024,0.8025,0.8024,0.8024
188,0.8089,0.8088,0.8092,0.8089,0.8089
189,0.8075,0.8075,0.8076,0.8075,0.8075
190,0.8055,0.8055,0.8055,0.8055,0.8055
191,0.8003,0.8003,0.8006,0.8003,0.8003
192,0.8089,0.8089,0.8089,0.8089,0.8089
193,0.8068,0.8068,0.8070,0.8068,0.8068
194,0.8024,0.8024,0.8026,0.8024,0.8024
195,0.8010,0.8010,0.8010,0.8010,0.8010
