class,fea18,fea13,fea7,fea12,fea25,fea24,fea10,fea11,fea23,fea17,fea16,fea15,fea8,fea2,fea9,fea4,fea5,fea19,fea21,fea20,fea3,fea22,fea26,fea14,fea1,fea6,27
1.0,0.46100056,0.00011179,0.00044715,0.00033536,0.03137272,0.46048915,0.00033536,0.00050305,0.00010516,0.00012096,0.00104113,0.00039126,0.00022358,0.00033536,0.00022358,0.00027947,0.00033536,0.03046024,7.8e-07,0.00486414,5.589e-05,0.00104175,0.00486304,0.00055894,0.00039126,0.0,1.17e-06
1.0,0.46002767,0.00031133,0.00024907,0.00031133,0.03180988,0.4603629,0.00031133,0.00043587,0.00010035,0.00016159,0.00100484,0.00043587,0.0001868,0.00031133,0.0001868,0.00043587,0.00012453,0.03130116,1.18e-06,0.00480652,0.0003736,0.00100405,0.00481128,0.00049813,0.0001868,0.0,8.6e-07
1.0,0.4584655,0.00021231,0.00026539,0.00021231,0.03379822,0.45856542,0.00042462,0.00031846,0.00014194,0.00011959,0.00106439,0.00015923,0.00015923,0.00026539,0.00037154,0.00047769,0.00042462,0.03264507,1.66e-06,0.00478747,0.00031846,0.00105969,0.00478563,0.00047769,0.00026539,0.00010615,8.1e-07
1.0,0.45907608,0.00053196,0.00039897,0.00026598,0.03270024,0.45924225,0.00019948,0.00046546,9.891e-05,0.00011394,0.00106527,0.00039897,0.00019948,0.00013299,0.00013299,0.00019948,0.00026598,0.03215334,1.94e-06,0.00491723,0.00033247,0.00106047,0.00491582,0.00046546,0.00013299,0.00019948,-1.4e-07
1.0,0.4627089,0.0001092,0.0001092,0.00027299,0.02937773,0.46239598,5.460000000000001e-05,0.00054598,0.00011088,0.00010177,0.00097933,0.00049138,0.00021839,0.00049138,0.00032759,0.00043679,0.00016379,0.02908479,1.54e-06,0.00480794,0.00032759,0.0009777000000000002,0.00481081,0.00054598,0.00016379,5.460000000000001e-05,1.81e-06
1.0,0.46001391,0.00022775,0.00034163,0.00022775,0.03193727,0.46000471,0.00039857,0.00051245,7.438e-05,0.00012954,0.00102527,0.00034163,0.00017082,0.00022775,0.00028469,0.00034163,0.00011388,0.03156665,1.38e-06,0.00481096,0.00022775,0.00101786,0.0048054,0.00062632,0.00028469,5.694e-05,6.6e-07
1.0,0.45963203,0.0002405,0.00036075,0.00018038,0.03235545,0.45977279,0.00042088,0.00054113,7.963e-05,6.256e-05,0.00103286,0.00066138,0.00012025,0.00012025,0.0002405,0.0002405,0.00018038,0.03175538,6.5e-07,0.0048221,0.0002405,0.00103058,0.00482555,0.0007215,0.00018038,0.00012025,7.7e-07
1.0,0.46008071,0.00030674,0.00046011,0.00035786,0.03160007,0.46022681,0.00030674,0.00025561,0.00012276,0.00010882,0.00099097,0.00025561,0.00015337,0.00025561,0.00030674,0.00040898,0.0,0.03166231,8.5e-07,0.00480644,0.00035786,0.0009892000000000002,0.00480867,0.00046011,0.00025561,0.0,1.31e-06
1.0,0.45851142,0.00046016,0.00046016,0.00011504,0.03295366,0.45867132,0.00034512,0.00034512,0.00011306,0.0001216,0.0010708,0.00063272,0.00028760000000000005,0.00034512,0.00028760000000000005,0.00028760000000000005,0.00011504,0.03297993,1.05e-06,0.004924800000000001,0.00011504,0.00106812,0.00492425,0.00040264,0.00023008,0.00017256,8.6e-07
1.0,0.45980882,0.00023533,0.00029417,0.00047067,0.03225109,0.46056512,0.00017649999999999998,0.00058833,8.740000000000001e-05,7.269999999999999e-05,0.00104291,0.00029417,0.00011767,0.00029417,0.00017649999999999998,0.00023533,0.000353,0.0307238,1.64e-06,0.00488039,0.00029417,0.00104043,0.00487801,0.00047067,0.00023533,0.00017649999999999998,-1.4e-07
1.0,0.46034111,5.471e-05,0.000383,0.00043772,0.03136785,0.46076036,0.00021886,0.000383,7.553e-05,0.00012983,0.00103101,0.00021886,0.00032829,0.00049243,0.00021886,0.00032829,0.00021886,0.0308477,1.08e-06,0.00488587,0.00016414,0.00102494,0.0048832,0.00043772,0.00043772,5.471e-05,7.6e-07
1.0,0.46377266,0.0,0.0,0.00044478,0.03007603,0.46390431,0.0,0.00054362,0.00026026,0.0002281,0.00094357,9.884e-05,4.942e-05,0.0,0.00014826,0.0009884,0.0,0.02593268,6.08e-06,0.00466468,0.00064246,0.00094438,0.00466549,0.00069188,0.00084014,4.942e-05,5.700000000000001e-06
1.0,0.46034141,0.00019851,0.00026467,0.00033084,0.03179199,0.46059936,0.00019851,0.00046318,0.00014863,9.056e-05,0.00101949,0.00039701,0.00019851,0.00026467,0.00033084,0.00039701,6.617e-05,0.03069211,3.18e-06,0.00482807,0.00033084,0.00101965,0.00483105,0.00052935,0.00033084,0.00019851,2.7000000000000004e-06
1.0,0.45890402,0.00037933,0.00037933,0.00012644,0.03281688,0.45856177,0.00018966,0.0003161,0.00022094,0.00022979,0.00105208,0.00025288,0.00050577,0.0003161,0.00025288,0.00037933,0.0,0.03282677,9.8e-07,0.00485849,0.00044255,0.00105203,0.00485923,0.00063221,0.00025288,0.00012644,1.89e-06
1.0,0.45812881,0.00052007,0.00036405,0.00026004,0.03369305,0.45817016,0.00031204,0.00031204,7.411e-05,0.00015722,0.00106537,0.00036405,0.00031204,0.00031204,0.00010401,0.00036405,0.00020803,0.03321518,9.7e-07,0.00490138,0.00036405,0.00106057,0.00490353,0.00031204,0.00020803,0.00010401,1.02e-06
1.0,0.45812497,0.00033401,0.00033401,0.00022268,0.03340723,0.45852778,0.00027834,0.00016701,0.00015081,0.00013965,0.00104725,0.00027834,0.00033401,0.00033401,0.00033401,0.00044535,0.00027834,0.03337762,-3.7e-07,0.004807100000000001,0.00044535,0.00104358,0.00480895,0.00044535,0.00016701,5.567e-05,5.8e-07
1.0,0.4597813,0.00019932,0.00039863,0.0003488,0.03234364,0.45988913,0.0003488,0.00049829,0.00010633,9.041e-05,0.00103863,0.00044846,0.00024914,0.00039863,0.00014949,0.00024914,0.00024914,0.0313296,2e-07,0.00487565,0.00014949,0.00103454,0.00487522,0.00049829,0.00029897,0.0,1.27e-06
1.0,0.4587715,0.00040998,0.00035141,0.00023427,0.03294911,0.45887688,0.00023427,0.00029284,2.62e-05,0.0001219,0.00104612,0.00052711,0.00029284,0.00035141,0.00023427,0.00029284,0.00023427,0.03279024,7.1e-07,0.00487769,0.00035141,0.00103804,0.00487384,0.00040998,0.00011714,0.00011714,8.9e-07
1.0,0.4604235,0.00029166,0.00040832,0.00034999,0.03104389,0.46120512,0.00023333,0.00040832,-3.29e-06,7.85e-05,0.00098484,0.00064165,0.000175,0.00052499,0.00023333,0.00029166,0.0,0.03084096,-5.4e-07,0.00489128,0.000175,0.00098149,0.00488783,0.00034999,0.00011666,0.0,-1.5e-07
1.0,0.4566095,0.00024243,0.00024243,0.0,0.03490042,0.45643843,0.00072728,0.00012121,8.437e-05,0.00012734,0.00107829,0.00042425,0.00030303,0.00012121,0.00024243,0.00042425,0.00036364,0.03558464,1.1e-07,0.004778899999999999,0.00036364,0.00107066,0.00478072,0.00048486,0.00024243,6.061e-05,1.09e-06
1.0,0.4598968,0.00015858,0.00021144,0.00015858,0.03152082,0.46070854,0.00037002,0.00037002,9.068e-05,0.00014096,0.00102094,0.00047574,0.00021144,0.00015858,0.00021144,0.00042288,0.00031716,0.03144558,1.18e-06,0.00478303,0.00037002,0.00101044,0.004780899999999999,0.00058146,0.00026430000000000003,5.286e-05,1.33e-06
1.0,0.46019438,0.00018778,0.00037556,0.00018778,0.0319508,0.46015264,0.00037556,0.00037556,6.474e-05,8.561e-05,0.00101051,0.00046945,0.00018778,0.00023473,0.00032862,0.00037556,0.00018778,0.03135922,3.5e-07,0.00478959,0.00023473,0.0010056000000000002,0.004786600000000001,0.00061029,0.00023473,0.0,-6.5e-07
1.0,0.46131419,0.00021078,0.00031617,0.00047425,0.03080357,0.46132944,0.00010539,0.00042156,6.476e-05,5.517e-05,0.00098667,0.00036886,0.00015808,0.00042156,0.00036886,0.00026347,0.00010539,0.03012582,1.64e-06,0.00485146,0.00031617,0.00098222,0.00484671,0.00036886,0.00015808,0.00010539,1.23e-06
1.0,0.45744896,0.00032518,0.00037163,0.00041809,0.03446975,0.45758044,0.00041809,0.00041809,8.442e-05,4.054e-05,0.00106776,0.00046454,0.00032518,0.00027872,0.00023227,9.291e-05,0.0,0.03373262,2.18e-06,0.00493041,0.00032518,0.00106643,0.00493022,0.00037163,0.00018582,0.00027872,8.7e-07
1.0,0.46055132,0.00029217,0.00052591,0.00035061,0.03130697,0.46143055,0.00011687,0.00040904,0.00012338,0.00013086,0.0010155,0.0001753,5.843e-05,0.00040904,0.00046748,0.00046748,0.0001753,0.0301684,1.73e-06,0.00482173,0.0001753,0.00101373,0.00481864,0.00052591,0.00029217,5.843e-05,8.4e-07
1.0,0.45952902,0.00029037,0.00040652,0.00017422,0.03242743,0.46019412,0.00029037,0.00046459,0.00011517,0.00017751,0.00102811,0.00023229,0.00017422,0.00011615,0.00040652,0.00034844,0.00011615,0.03135928,2.56e-06,0.00477658,0.00034844,0.00102597,0.00477483,0.00081303,0.00017422,0.00011615,1.59e-06
1.0,0.45945774,0.00035526,0.00024424,0.00026645,0.0325125,0.45954983,0.00017763,0.00035526,9.918e-05,0.00010232,0.0010342,0.00044408,0.00035526,0.00039967,0.00022204,0.00033306,0.00011102,0.03179945,1.33e-06,0.00488543,0.00039967,0.00103145,0.0048856,0.00037747,0.00015543,0.00015543,3.6e-07
1.0,0.45834601,0.00017279,0.00046078,0.00028799,0.03321615,0.45916543,0.00034559,0.00034559,7.886e-05,7.693e-05,0.00108107,0.00017279,0.00017279,0.00040319,0.00040319,0.00023039,0.00051838,0.03260951,1.13e-06,0.00486809,0.0001152,0.00107857,0.00487017,0.00046078,0.00023039,0.0001152,2.3e-07
